address,name,evidence,confidence
080060,egs52_register_sequence_080060,Register-level instruction sequence; higher-level role unresolved,structural
080064,egs52_register_sequence_080064,Register-level instruction sequence; higher-level role unresolved,structural
080068,egs52_register_sequence_080068,Register-level instruction sequence; higher-level role unresolved,structural
08006c,egs52_register_sequence_08006c,Register-level instruction sequence; higher-level role unresolved,structural
080070,egs52_register_sequence_080070,Register-level instruction sequence; higher-level role unresolved,structural
080074,egs52_register_sequence_080074,Register-level instruction sequence; higher-level role unresolved,structural
080078,egs52_register_sequence_080078,Register-level instruction sequence; higher-level role unresolved,structural
08007c,egs52_register_sequence_08007c,Register-level instruction sequence; higher-level role unresolved,structural
080080,egs52_register_sequence_080080,Register-level instruction sequence; higher-level role unresolved,structural
080084,egs52_register_sequence_080084,Register-level instruction sequence; higher-level role unresolved,structural
080088,egs52_register_sequence_080088,Register-level instruction sequence; higher-level role unresolved,structural
08008c,egs52_register_sequence_08008c,Register-level instruction sequence; higher-level role unresolved,structural
080090,egs52_register_sequence_080090,Register-level instruction sequence; higher-level role unresolved,structural
080094,egs52_register_sequence_080094,Register-level instruction sequence; higher-level role unresolved,structural
080098,egs52_register_sequence_080098,Register-level instruction sequence; higher-level role unresolved,structural
08009c,egs52_register_sequence_08009c,Register-level instruction sequence; higher-level role unresolved,structural
0800a0,egs52_register_sequence_0800a0,Register-level instruction sequence; higher-level role unresolved,structural
0800a4,egs52_register_sequence_0800a4,Register-level instruction sequence; higher-level role unresolved,structural
0800a8,egs52_register_sequence_0800a8,Register-level instruction sequence; higher-level role unresolved,structural
0800ac,egs52_register_sequence_0800ac,Register-level instruction sequence; higher-level role unresolved,structural
0800b0,egs52_register_sequence_0800b0,Register-level instruction sequence; higher-level role unresolved,structural
0800b4,egs52_register_sequence_0800b4,Register-level instruction sequence; higher-level role unresolved,structural
0800b8,egs52_register_sequence_0800b8,Register-level instruction sequence; higher-level role unresolved,structural
0800bc,egs52_register_sequence_0800bc,Register-level instruction sequence; higher-level role unresolved,structural
0800c0,egs52_register_sequence_0800c0,Register-level instruction sequence; higher-level role unresolved,structural
0800c4,egs52_register_sequence_0800c4,Register-level instruction sequence; higher-level role unresolved,structural
0800c8,egs52_register_sequence_0800c8,Register-level instruction sequence; higher-level role unresolved,structural
0800cc,egs52_register_sequence_0800cc,Register-level instruction sequence; higher-level role unresolved,structural
0800d0,egs52_register_sequence_0800d0,Register-level instruction sequence; higher-level role unresolved,structural
0800d4,egs52_register_sequence_0800d4,Register-level instruction sequence; higher-level role unresolved,structural
0800d8,egs52_register_sequence_0800d8,Register-level instruction sequence; higher-level role unresolved,structural
0800dc,egs52_register_sequence_0800dc,Register-level instruction sequence; higher-level role unresolved,structural
0800e0,egs52_register_sequence_0800e0,Register-level instruction sequence; higher-level role unresolved,structural
0800e4,egs52_register_sequence_0800e4,Register-level instruction sequence; higher-level role unresolved,structural
0800e8,egs52_register_sequence_0800e8,Register-level instruction sequence; higher-level role unresolved,structural
0800ec,egs52_register_sequence_0800ec,Register-level instruction sequence; higher-level role unresolved,structural
0800f0,egs52_register_sequence_0800f0,Register-level instruction sequence; higher-level role unresolved,structural
0800f4,egs52_register_sequence_0800f4,Register-level instruction sequence; higher-level role unresolved,structural
0800f8,egs52_register_sequence_0800f8,Register-level instruction sequence; higher-level role unresolved,structural
0800fc,egs52_register_sequence_0800fc,Register-level instruction sequence; higher-level role unresolved,structural
080100,egs52_register_sequence_080100,Register-level instruction sequence; higher-level role unresolved,structural
080104,egs52_register_sequence_080104,Register-level instruction sequence; higher-level role unresolved,structural
080108,egs52_register_sequence_080108,Register-level instruction sequence; higher-level role unresolved,structural
08010c,egs52_register_sequence_08010c,Register-level instruction sequence; higher-level role unresolved,structural
080110,egs52_register_sequence_080110,Register-level instruction sequence; higher-level role unresolved,structural
080114,egs52_register_sequence_080114,Register-level instruction sequence; higher-level role unresolved,structural
080118,egs52_register_sequence_080118,Register-level instruction sequence; higher-level role unresolved,structural
08011c,egs52_register_sequence_08011c,Register-level instruction sequence; higher-level role unresolved,structural
080120,egs52_register_sequence_080120,Register-level instruction sequence; higher-level role unresolved,structural
080124,egs52_register_sequence_080124,Register-level instruction sequence; higher-level role unresolved,structural
080128,egs52_register_sequence_080128,Register-level instruction sequence; higher-level role unresolved,structural
08012c,egs52_register_sequence_08012c,Register-level instruction sequence; higher-level role unresolved,structural
080130,egs52_register_sequence_080130,Register-level instruction sequence; higher-level role unresolved,structural
080134,egs52_register_sequence_080134,Register-level instruction sequence; higher-level role unresolved,structural
080138,egs52_register_sequence_080138,Register-level instruction sequence; higher-level role unresolved,structural
08013c,egs52_register_sequence_08013c,Register-level instruction sequence; higher-level role unresolved,structural
080140,egs52_register_sequence_080140,Register-level instruction sequence; higher-level role unresolved,structural
080144,egs52_register_sequence_080144,Register-level instruction sequence; higher-level role unresolved,structural
080148,egs52_register_sequence_080148,Register-level instruction sequence; higher-level role unresolved,structural
08014c,egs52_register_sequence_08014c,Register-level instruction sequence; higher-level role unresolved,structural
080150,egs52_register_sequence_080150,Register-level instruction sequence; higher-level role unresolved,structural
080154,egs52_register_sequence_080154,Register-level instruction sequence; higher-level role unresolved,structural
080158,egs52_register_sequence_080158,Register-level instruction sequence; higher-level role unresolved,structural
08015c,egs52_register_sequence_08015c,Register-level instruction sequence; higher-level role unresolved,structural
080160,egs52_register_sequence_080160,Register-level instruction sequence; higher-level role unresolved,structural
080164,egs52_register_sequence_080164,Register-level instruction sequence; higher-level role unresolved,structural
080168,egs52_register_sequence_080168,Register-level instruction sequence; higher-level role unresolved,structural
08016c,egs52_register_sequence_08016c,Register-level instruction sequence; higher-level role unresolved,structural
080170,egs52_register_sequence_080170,Register-level instruction sequence; higher-level role unresolved,structural
080174,egs52_register_sequence_080174,Register-level instruction sequence; higher-level role unresolved,structural
080178,egs52_register_sequence_080178,Register-level instruction sequence; higher-level role unresolved,structural
08017c,egs52_register_sequence_08017c,Register-level instruction sequence; higher-level role unresolved,structural
080180,egs52_register_sequence_080180,Register-level instruction sequence; higher-level role unresolved,structural
080184,egs52_register_sequence_080184,Register-level instruction sequence; higher-level role unresolved,structural
080188,egs52_register_sequence_080188,Register-level instruction sequence; higher-level role unresolved,structural
08018c,egs52_register_sequence_08018c,Register-level instruction sequence; higher-level role unresolved,structural
080190,egs52_register_sequence_080190,Register-level instruction sequence; higher-level role unresolved,structural
080194,egs52_register_sequence_080194,Register-level instruction sequence; higher-level role unresolved,structural
080198,egs52_register_sequence_080198,Register-level instruction sequence; higher-level role unresolved,structural
08019c,egs52_register_sequence_08019c,Register-level instruction sequence; higher-level role unresolved,structural
0801a0,egs52_register_sequence_0801a0,Register-level instruction sequence; higher-level role unresolved,structural
0801a4,egs52_register_sequence_0801a4,Register-level instruction sequence; higher-level role unresolved,structural
0801a8,egs52_register_sequence_0801a8,Register-level instruction sequence; higher-level role unresolved,structural
0801ac,egs52_register_sequence_0801ac,Register-level instruction sequence; higher-level role unresolved,structural
0801b0,egs52_register_sequence_0801b0,Register-level instruction sequence; higher-level role unresolved,structural
0801b4,egs52_register_sequence_0801b4,Register-level instruction sequence; higher-level role unresolved,structural
0801b8,egs52_register_sequence_0801b8,Register-level instruction sequence; higher-level role unresolved,structural
0801bc,egs52_register_sequence_0801bc,Register-level instruction sequence; higher-level role unresolved,structural
0801c0,egs52_register_sequence_0801c0,Register-level instruction sequence; higher-level role unresolved,structural
0801c4,egs52_register_sequence_0801c4,Register-level instruction sequence; higher-level role unresolved,structural
0801c8,egs52_register_sequence_0801c8,Register-level instruction sequence; higher-level role unresolved,structural
0801cc,egs52_register_sequence_0801cc,Register-level instruction sequence; higher-level role unresolved,structural
0801d0,egs52_register_sequence_0801d0,Register-level instruction sequence; higher-level role unresolved,structural
0801d4,egs52_register_sequence_0801d4,Register-level instruction sequence; higher-level role unresolved,structural
0801d8,egs52_register_sequence_0801d8,Register-level instruction sequence; higher-level role unresolved,structural
0801dc,egs52_register_sequence_0801dc,Register-level instruction sequence; higher-level role unresolved,structural
0801e0,egs52_register_sequence_0801e0,Register-level instruction sequence; higher-level role unresolved,structural
0801e4,egs52_register_sequence_0801e4,Register-level instruction sequence; higher-level role unresolved,structural
0801e8,egs52_register_sequence_0801e8,Register-level instruction sequence; higher-level role unresolved,structural
0801ec,egs52_register_sequence_0801ec,Register-level instruction sequence; higher-level role unresolved,structural
0801f0,egs52_register_sequence_0801f0,Register-level instruction sequence; higher-level role unresolved,structural
0801f4,egs52_register_sequence_0801f4,Register-level instruction sequence; higher-level role unresolved,structural
0801f8,egs52_register_sequence_0801f8,Register-level instruction sequence; higher-level role unresolved,structural
0801fc,egs52_register_sequence_0801fc,Register-level instruction sequence; higher-level role unresolved,structural
080960,egs52_update_near_fdee_080960,Instruction destination near addresses fdee;f3e6;f3ec;f3ea,structural
080b22,egs52_update_near_fdee_080b22,Instruction destination near addresses fdee;f3e6,structural
080c1a,egs52_update_near_f3e6_080c1a,Instruction destination near addresses f3e6;f3e8;f3ea;f3ec,structural
080c30,egs52_update_near_f3e6_080c30,Instruction destination near addresses f3e6;f3e8,structural
080c4a,egs52_update_near_f3f8_080c4a,Instruction destination near addresses f3f8;f5c4;f5c6;f5bc;f597;f5c0;f5c2;f5ba;f618;f5c8;f5ca;f5be;f619,structural
080f5e,egs52_transform_far_memory_080f5e,Indirect non-R0 memory destinations in decoded instructions,structural
080f90,egs52_call_081058_080f90,Direct call targets 081058;0810cc,structural
081058,egs52_transform_far_memory_081058,Indirect non-R0 memory destinations in decoded instructions,structural
0810cc,egs52_register_arithmetic_0810cc,Register-level instruction sequence; higher-level role unresolved,structural
0810fc,egs52_register_sequence_0810fc,Register-level instruction sequence; higher-level role unresolved,structural
08112c,egs52_register_sequence_08112c,Register-level instruction sequence; higher-level role unresolved,structural
08115c,egs52_update_near_f3fe_08115c,Instruction destination near addresses f3fe;f3ff;f400;f401;f615,structural
0812e8,egs52_update_near_f406_0812e8,Instruction destination near addresses f406,structural
081334,egs52_update_near_f3fe_081334,Instruction destination near addresses f3fe;f3ff;f400;f401;f5d0;fdee;f617;f5d2;f3f0;f3f4;f5cc;f5ce;f3ec,structural
08152a,egs52_update_near_f3fe_08152a,Instruction destination near addresses f3fe;f3ff;f400;f401;f406,structural
081584,egs52_update_near_f3fe_081584,Instruction destination near addresses f3fe;f3ff;f400;f401;f615,structural
08172a,egs52_update_near_f615_08172a,Instruction destination near addresses f615,structural
081a2e,egs52_update_near_f406_081a2e,Instruction destination near addresses f406;f403;f615;f405,structural
081a42,egs52_compute_from_near_fdee_081a42,Instruction source near addresses fdee,structural
081a92,egs52_transform_memory_081a92,Indirect non-R0 memory destinations in decoded instructions,structural
081aa4,egs52_update_near_f615_081aa4,Instruction destination near addresses f615;fdee,structural
081af0,egs52_register_sequence_081af0,Register-level instruction sequence; higher-level role unresolved,structural
081af4,egs52_register_sequence_081af4,Register-level instruction sequence; higher-level role unresolved,structural
081b00,egs52_register_sequence_081b00,Register-level instruction sequence; higher-level role unresolved,structural
081b04,egs52_register_sequence_081b04,Register-level instruction sequence; higher-level role unresolved,structural
081d84,egs52_update_near_f402_081d84,Instruction destination near addresses f402;f5b4,structural
081db0,egs52_update_near_fdee_081db0,Instruction destination near addresses fdee;f1ce;f1c6;f1c2;f1d2;f5ae;f5a6;f5a8;f5aa;f5ac;f5b0;f3f8;f572;f45e;f5b2;f18e;f186,structural
081f1e,egs52_register_sequence_081f1e,Register-level instruction sequence; higher-level role unresolved,structural
081f30,egs52_register_sequence_081f30,Register-level instruction sequence; higher-level role unresolved,structural
081f3a,egs52_register_sequence_081f3a,Register-level instruction sequence; higher-level role unresolved,structural
081f3c,egs52_update_near_fdea_081f3c,Instruction destination near addresses fdea;fdec;f582;f594;f595;f581;f462;f464;f46b;f46c;f466;f57e;f460;f5b2;f469;f46f;f46e;f572;f454;f456;f444;f46a,structural
082384,egs52_call_08244a_082384,Direct call targets 08244a;082392;081a2e,structural
082392,egs52_update_near_f57f_082392,Instruction destination near addresses f57f;f594;f595;f580;fdea;fdec;f460;f462;f464;f468;f572;f5b0;f574;f576;f578;f57c;f5b2;f57e;fde8;f5a0,structural
08244a,egs52_update_near_f1c6_08244a,Instruction destination near addresses f1c6,structural
082472,egs52_update_near_f594_082472,Instruction destination near addresses f594;f595,structural
0824c8,egs52_update_near_f581_0824c8,Instruction destination near addresses f581;f590,structural
0826ea,egs52_call_082900_0826ea,Direct call targets 082900,structural
0826f0,egs52_call_082900_0826f0,Direct call targets 082900,structural
0826f6,egs52_update_near_fdea_0826f6,Instruction destination near addresses fdea;fdec;f5b2,structural
082724,egs52_call_0829c6_082724,Direct call targets 0829c6,structural
08272c,egs52_update_near_f471_08272c,Instruction destination near addresses f471;f46c;f46d;fdea;f460;f46e;f46f,structural
08278c,egs52_update_near_f471_08278c,Instruction destination near addresses f471;f46d;f470;fdea;f460;f46e;f46f,structural
0827e6,egs52_update_near_f460_0827e6,Instruction destination near addresses f460;f464;f57e;fdea;f5b2;f57c;f574;f576;f578;f57d;f584,structural
082900,egs52_update_near_fdea_082900,Instruction destination near addresses fdea;f572;f5b2;f582;fde8;f469;f456;f454;f462;f464;fdec,structural
08298a,egs52_update_near_f456_08298a,Instruction destination near addresses f456;f454;f45a;f458;f40e;f410,structural
0829c6,egs52_update_near_f5b2_0829c6,Instruction destination near addresses f5b2;f572;f456;f469;f464;f444,structural
082a00,egs52_update_near_f581_082a00,Instruction destination near addresses f581;fdec,structural
082b14,egs52_update_near_f581_082b14,Instruction destination near addresses f581,structural
083040,egs52_compute_from_near_fdee_083040,Instruction source near addresses fdee,structural
088ea2,egs52_update_near_f462_088ea2,Instruction destination near addresses f462,structural
088f1e,egs52_update_near_f57f_088f1e,Instruction destination near addresses f57f,structural
088f56,egs52_update_near_f41e_088f56,Instruction destination near addresses f41e;f420,structural
089090,egs52_update_near_f186_089090,Instruction destination near addresses f186;f18e,structural
0894ca,egs52_update_near_f422_0894ca,Instruction destination near addresses f422;f424;f426;f428;f186,structural
089650,egs52_update_near_f439_089650,Instruction destination near addresses f439;f442;f43a;f456;f438;f434;f436;f451;f452;f444;f432;f45e;f3e0;f3e2;f422;fde8;f447;f45a;f454;f44c;f448;f44a;f44d;f450;f44e;f44f,structural
089ce0,egs52_update_near_f40a_089ce0,Instruction destination near addresses f40a;f40c;f432,structural
089dbe,egs52_call_083132_089dbe,Direct call targets 083132;0826f6,structural
089e22,egs52_transform_far_memory_089e22,Indirect non-R0 memory destinations in decoded instructions,structural
089e62,egs52_register_sequence_089e62,Register-level instruction sequence; higher-level role unresolved,structural
089e70,egs52_register_sequence_089e70,Register-level instruction sequence; higher-level role unresolved,structural
089e76,egs52_transform_memory_089e76,Indirect non-R0 memory destinations in decoded instructions,structural
089e7e,egs52_call_089ef6_089e7e,Direct call targets 089ef6,structural
089e84,egs52_call_089fc0_089e84,Direct call targets 089fc0,structural
089e8a,egs52_update_near_f439_089e8a,Instruction destination near addresses f439;f43a;f43b;f438;f432;f434;f436;f45e;f3e0,structural
089ef6,egs52_update_near_f438_089ef6,Instruction destination near addresses f438;f439;f456;f442;f45e;f3e0;f432;f434;f436;f3e2,structural
089fc0,egs52_call_089fc6_089fc0,Direct call targets 089fc6,structural
089fc6,egs52_update_near_f3e0_089fc6,Instruction destination near addresses f3e0;f444;f45a;f442;f458;f45c;f456;f454;f44c;f451;f44d;f452;fde8;f447,structural
08a00c,egs52_update_near_f186_08a00c,Instruction destination near addresses f186,structural
08a036,egs52_register_arithmetic_08a036,Register-level instruction sequence; higher-level role unresolved,structural
08a084,egs52_transform_memory_08a084,Indirect non-R0 memory destinations in decoded instructions,structural
092780,egs52_transform_memory_092780,Indirect non-R0 memory destinations in decoded instructions,structural
093b50,egs52_register_sequence_093b50,Register-level instruction sequence; higher-level role unresolved,structural
093b54,egs52_register_sequence_093b54,Register-level instruction sequence; higher-level role unresolved,structural
093b58,egs52_register_sequence_093b58,Register-level instruction sequence; higher-level role unresolved,structural
093b70,egs52_register_sequence_093b70,Register-level instruction sequence; higher-level role unresolved,structural
093b74,egs52_register_sequence_093b74,Register-level instruction sequence; higher-level role unresolved,structural
093b78,egs52_register_sequence_093b78,Register-level instruction sequence; higher-level role unresolved,structural
093b84,egs52_register_sequence_093b84,Register-level instruction sequence; higher-level role unresolved,structural
093b88,egs52_register_sequence_093b88,Register-level instruction sequence; higher-level role unresolved,structural
093b98,egs52_register_sequence_093b98,Register-level instruction sequence; higher-level role unresolved,structural
093ba0,egs52_register_sequence_093ba0,Register-level instruction sequence; higher-level role unresolved,structural
093bb4,egs52_register_sequence_093bb4,Register-level instruction sequence; higher-level role unresolved,structural
093bb8,egs52_register_sequence_093bb8,Register-level instruction sequence; higher-level role unresolved,structural
093bbc,egs52_register_sequence_093bbc,Register-level instruction sequence; higher-level role unresolved,structural
093c00,egs52_register_sequence_093c00,Register-level instruction sequence; higher-level role unresolved,structural
093c04,egs52_register_sequence_093c04,Register-level instruction sequence; higher-level role unresolved,structural
093c0c,egs52_register_sequence_093c0c,Register-level instruction sequence; higher-level role unresolved,structural
093c14,egs52_register_sequence_093c14,Register-level instruction sequence; higher-level role unresolved,structural
093d4c,egs52_call_09cb2e_093d4c,Direct call targets 09cb2e,structural
093d60,egs52_update_near_c040_093d60,Instruction destination near addresses c040;c041;c042,structural
093dae,egs52_transform_memory_093dae,Indirect non-R0 memory destinations in decoded instructions,structural
093de4,egs52_update_near_c040_093de4,Instruction destination near addresses c040;c041;c042,structural
093e10,egs52_update_near_c043_093e10,Instruction destination near addresses c043;c062,structural
093f8a,egs52_compute_from_near_c064_093f8a,Instruction source near addresses c064,structural
093f90,egs52_update_near_c068_093f90,Instruction destination near addresses c068;c06a,structural
094156,egs52_call_0a0000_094156,Direct call targets 0a0000,structural
09415c,egs52_call_0a00aa_09415c,Direct call targets 0a00aa,structural
094162,egs52_call_0a00c6_094162,Direct call targets 0a00c6,structural
094168,egs52_call_0a00d4_094168,Direct call targets 0a00d4;0a013e,structural
094172,egs52_call_0a01a8_094172,Direct call targets 0a01a8,structural
094178,egs52_call_0a0302_094178,Direct call targets 0a0302,structural
09419a,egs52_update_near_cab6_09419a,Instruction destination near addresses f7b5;f456;f442;f7b6;f451;f452;f444;f45e;cab6;cab2;fde8;f447;f45c;f458;f45a;f454;f448;f44a;f44c;f44d;f450;f44e;f44f,structural
094830,egs52_call_09419a_094830,Direct call targets 09419a,structural
094840,egs52_update_near_cab6_094840,Instruction destination near addresses f7b5;f7b6;f7b7;f45e;cab6,structural
094884,egs52_call_09488a_094884,Direct call targets 09488a,structural
09488a,egs52_update_near_cab6_09488a,Instruction destination near addresses f7b5;f456;f442;f45e;cab6;cab2,structural
09491e,egs52_call_094924_09491e,Direct call targets 094924,structural
094924,egs52_call_09492a_094924,Direct call targets 09492a,structural
09492a,egs52_update_near_f878_09492a,Instruction destination near addresses f878;f444;f45a;f442;f458;f45c;f456;f454;f44c;f451;f44d;f452;fde8;f447,structural
094d98,egs52_compute_from_near_c06e_094d98,Instruction source near addresses c06e,structural
094db4,egs52_compute_from_near_c100_094db4,Instruction source near addresses c100,structural
094dd2,egs52_update_near_c086_094dd2,Instruction destination near addresses c086,structural
094dfe,egs52_call_0964d2_094dfe,Direct call targets 0964d2,structural
094e18,egs52_call_0964d2_094e18,Direct call targets 0964d2;0981ca;09fbc0,structural
094e52,egs52_call_0964d2_094e52,Direct call targets 0964d2;0a1b8c;094dfe,structural
094e88,egs52_update_near_fd26_094e88,Instruction destination near addresses fd26,structural
094eda,egs52_call_0964d2_094eda,Direct call targets 0964d2;094d98;09c462;09fbc0,structural
094f42,egs52_update_near_fd26_094f42,Instruction destination near addresses fd26,structural
094f96,egs52_update_near_c086_094f96,Instruction destination near addresses c086,structural
0950e0,egs52_update_near_c086_0950e0,Instruction destination near addresses c086,structural
09512a,egs52_call_0a2d18_09512a,Direct call targets 0a2d18,structural
095130,egs52_update_near_c0bc_095130,Instruction destination near addresses c0bc;c0be;c0c0;c0b8;c0ba;f7be,structural
095abc,egs52_call_095b6a_095abc,Direct call targets 095b6a;0a2fba,structural
095b38,egs52_call_095b6a_095b38,Direct call targets 095b6a;0a3b10,structural
095b58,egs52_call_0a3d02_095b58,Direct call targets 0a3d02,structural
095b76,egs52_register_arithmetic_095b76,Register-level instruction sequence; higher-level role unresolved,structural
095b96,egs52_compute_from_near_f7be_095b96,Instruction source near addresses f7be,structural
095bbc,egs52_update_near_c0c6_095bbc,Instruction destination near addresses c0c6;c0c8;c0b6;c0b2;c0c4;c0b4;c0c2;fd00;c0ca,structural
095f04,egs52_update_near_c0d4_095f04,Instruction destination near addresses c0d4;c0d6;c0d2,structural
095f8e,egs52_update_near_fd00_095f8e,Instruction destination near addresses fd00,structural
095fa8,egs52_call_09fbc0_095fa8,Direct call targets 09fbc0,structural
09600a,egs52_transform_memory_09600a,Indirect non-R0 memory destinations in decoded instructions,structural
09613e,egs52_update_near_d2ae_09613e,Instruction destination near addresses fd26;d2ae;d2b0;d2b2;d2b3;d2b6;d2b8;d2ba;d2bd;d2bc;fd00,structural
09629a,egs52_update_near_d3da_09629a,Instruction destination near addresses fd26;d3da;d3de,structural
096330,egs52_update_near_c106_096330,Instruction destination near addresses c106;c108,structural
096490,egs52_call_0d02e2_096490,Direct call targets 0d02e2,structural
0964aa,egs52_call_0a4f28_0964aa,Direct call targets 0a4f28,structural
0964b2,egs52_update_near_c105_0964b2,Instruction destination near addresses c105,structural
0964cc,egs52_call_0a1dd2_0964cc,Direct call targets 0a1dd2,structural
0964d2,egs52_compute_from_near_f61e_0964d2,Instruction source near addresses f61e,structural
09652c,egs52_call_097e9e_09652c,Direct call targets 097e9e,structural
09653c,egs52_update_near_d3e2_09653c,Instruction destination near addresses d3e2;d3e4,structural
09655e,egs52_call_097b0a_09655e,Direct call targets 097b0a,structural
096564,egs52_update_near_c112_096564,Instruction destination near addresses c112;c110,structural
0965a8,egs52_call_0a4426_0965a8,Direct call targets 0a4426,structural
0965ae,egs52_register_sequence_0965ae,Register-level instruction sequence; higher-level role unresolved,structural
0965b0,egs52_update_near_f878_0965b0,Instruction destination near addresses f878,structural
0965d2,egs52_update_near_c10a_0965d2,Instruction destination near addresses f3f8;f803;c10a;fd00;c114,structural
09677a,egs52_update_near_c116_09677a,Instruction destination near addresses c116,structural
096786,egs52_compute_from_near_c116_096786,Instruction source near addresses c116,structural
096794,egs52_update_near_d3e8_096794,Instruction destination near addresses d3e8;c117;d3e6,structural
096962,egs52_register_sequence_096962,Register-level instruction sequence; higher-level role unresolved,structural
0969a2,egs52_update_near_c13e_0969a2,Instruction destination near addresses fdf0;c13e,structural
0969c0,egs52_update_near_fd00_0969c0,Instruction destination near addresses fd00,structural
0969da,egs52_compute_from_near_c13e_0969da,Instruction source near addresses c13e;c12a,structural
096a0e,egs52_compute_from_near_c12b_096a0e,Instruction source near addresses c12b,structural
096a1e,egs52_update_near_c12e_096a1e,Instruction destination near addresses c12e;c12f;fdf0;fd00,structural
096a60,egs52_update_near_c130_096a60,Instruction destination near addresses fd00;c130;c131;fdf0,structural
096ad6,egs52_update_near_c12a_096ad6,Instruction destination near addresses fd00;fdf0;c12a;c12b;c12c;c12d;c132;c133,structural
096d68,egs52_update_near_c134_096d68,Instruction destination near addresses fd00;c134;c135;fdf0,structural
096dba,egs52_update_near_c136_096dba,Instruction destination near addresses fd00;c136;c137;fdf0,structural
096e0c,egs52_update_near_c138_096e0c,Instruction destination near addresses c138;c139;fdf0;fd00,structural
096e4a,egs52_update_near_c13a_096e4a,Instruction destination near addresses c13a;c13c;fdf0;fd00,structural
096e94,egs52_update_near_fc20_096e94,Instruction destination near addresses fc20;fdf2,structural
096eec,egs52_update_near_fd00_096eec,Instruction destination near addresses fd00;fcfc;fcfe,structural
096f26,egs52_update_near_fc40_096f26,Instruction destination near addresses fc40;fd00,structural
096f56,egs52_update_near_fd00_096f56,Instruction destination near addresses fd00,structural
096f96,egs52_update_near_f0a0_096f96,Instruction destination near addresses f0a0,structural
096fb6,egs52_compute_from_near_f0a0_096fb6,Instruction source near addresses f0a0,structural
096ff2,egs52_update_near_f03c_096ff2,Instruction destination near addresses f03c;f034;f03e;f036,structural
097036,egs52_compute_from_near_c160_097036,Instruction source near addresses c160,structural
097052,egs52_update_near_c161_097052,Instruction destination near addresses c161;c162,structural
097116,egs52_compute_from_near_f03c_097116,Instruction source near addresses f03c;f03e,structural
097172,egs52_update_near_c166_097172,Instruction destination near addresses c166,structural
0971e8,egs52_update_near_c166_0971e8,Instruction destination near addresses c166,structural
09721c,egs52_update_near_c168_09721c,Instruction destination near addresses c168;c164;c169,structural
09729a,egs52_update_near_c168_09729a,Instruction destination near addresses c168,structural
0972dc,egs52_update_near_c168_0972dc,Instruction destination near addresses c168;c164;c169,structural
097350,egs52_update_near_c16e_097350,Instruction destination near addresses c16e;c169;c16c;c16a;f804;c164,structural
097610,egs52_update_near_c172_097610,Instruction destination near addresses c172;c170,structural
097634,egs52_update_near_c170_097634,Instruction destination near addresses c170;c172,structural
097676,egs52_register_sequence_097676,Register-level instruction sequence; higher-level role unresolved,structural
097678,egs52_update_near_c172_097678,Instruction destination near addresses c172;c170,structural
0977f4,egs52_update_near_c170_0977f4,Instruction destination near addresses c170,structural
097904,egs52_update_near_c170_097904,Instruction destination near addresses c170,structural
097954,egs52_update_near_f160_097954,Instruction destination near addresses f160;f162;f164;f166;f168;f16a;f16c;f16e;f170;f172;f174;f176;f178;f184;f18c;f194;f186;f19e;f17a;f17c,structural
097a40,egs52_register_sequence_097a40,Register-level instruction sequence; higher-level role unresolved,structural
097a84,egs52_update_near_f1c2_097a84,Instruction destination near addresses f1c2;f1c6;f1ca;f1ce;f1d2;f1d6;f1c4,structural
