address,name,evidence,confidence
0df980,egs52_map_u8,Byte-axis map; cell indices wrap modulo 256; three truncated divisions,verified
0dfc18,egs52_curve_s16,Signed word-axis word-value curve interpolation,verified
0dfcd6,egs52_pid_reset,Zero three context words,verified
0dfce4,egs52_pid_step,Scaled PID with separately saturated integral state and output,verified
0e0000,egs52_update_scaled_difference_d712,Scale wrapped D504 minus previous D790 by indexed gain over 300; conditionally filter into D710,verified
0e3476,egs52_return_true_0e3476,Return byte one,observed
0e347a,egs52_return_true_0e347a,Return byte one,observed
0e347e,egs52_test_fd54_bit10_clear,Return Boolean inverse of FD54 bit 10,observed
0e3520,egs52_test_flag_fd56_bit4,Return FD56 bit 4,observed
0e813e,egs52_select_client3_operating_mask,Call 094980 with client 3 and mask 1 or 0800 according to FD62 bit 0,observed
093f04,egs52_read_indexed_word_c044,All exits set RL4; caller 0966ca compares RL4; R12 receives two bytes from C044 indexed by C043,observed
0a59c2,egs52_boot_request_65,Writes F3E6/F3E8 and request byte 65; invokes far callback at 080208; exits set RL4 to FDEE bit2,observed
0a5a0e,egs52_boot_request_53,Writes four words at F3E6 and request byte 53; invokes far callback at 08020C; exits set RL4 to FDEE bit1,observed
0e31ae,egs52_pack_scaled_status_fields,Implicit RAM inputs and scaled byte/word stores; both callers discard result before subsequent calls,observed
0d30f2,egs52_lerp_signed_registers,Original-instruction comparison of signed interpolation; fifth operand at entry R0,verified
0a626c,egs52_read_indexed_record_word,Every byte index/limit pair checked against original instructions; reads word in EE00/EF00 record arrays,verified
0d728e,egs52_compute_d42e_byte,Common exit writes RL4 at 0d73dc; sole caller 0d4c1c stores RL4 to D5B1; byte mode copied from RL6,observed
098164,egs52_test_fd02_bit0_clear,Bit inversion from FD02 into PSW bit6 and RL4; every initial PSW word instruction-tested,verified
09eee4,egs52_stage_request_words,Instruction-tested C32A status gates and four-word request staging at C332; fourth word on R0 stack,verified
0835f4,egs52_interrupt_010,Instruction-tested FDEE bit0 routing; ordered word I/O and watchdog/reset or application-vector transfer events,verified
083600,egs52_interrupt_018,Instruction-tested FDEE bit0 routing; ordered word I/O and watchdog/reset or application-vector transfer events,verified
08360c,egs52_interrupt_028,Instruction-tested FDEE bit0 routing; ordered word I/O and watchdog/reset or application-vector transfer events,verified
