id,start_s,end_s,shift,duration_ms,response10_ms,ratio90_ms,pedal_start_pct,pedal_end_pct,input_start,input_end,output_start,output_end,engine_peak,request_min,request_max,net_torque_min,target_overshoot_rpm,phases_ms,longest_substate,longest_substate_ms,trace_events,forward,review
19,119.406,120.494,4->3,1088,556,670,11.6,54.0,795,1190,797,799,1565,150,175,27,15,"{""1"": 1088}",1.1.0,646,19,True,No specific control failure established; retain as comparison shift; Next downshift follows after 0 ms: judge total ladder response
20,120.494,123.294,3->2,2800,1179,2111,54.8,84.4,1206,3053,801,1240,3237,242,289,168,73,"{""0"": 20, ""1"": 2780}",1.5.3,874,19,True,Long shift: correct release control; Fill/release dominates; coordinate MPC release and SPC rise as pedal increases; Slow initial response; improve fill/release onset; Reverses to 3 after 532 ms: check useful gear residence and changing demand
21,123.826,125.254,2->3,1428,611,972,76.4,53.6,3462,2645,1419,1765,3936,270,278,189,,"{""1"": 1428}",1.1.0,649,20,True,No specific control failure established; retain as comparison shift
22,125.9,127.364,3->4,1464,742,989,61.6,64.0,2798,2045,1875,2042,3089,270,276,201,,"{""1"": 1464}",1.1.0,798,21,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate
23,129.968,131.108,4->5,1140,475,684,48.4,0.0,2225,1817,2216,2201,2517,205,206,-42,,"{""1"": 1140}",1.1.0,646,22,True,No specific control failure established; retain as comparison shift
24,171.419,172.276,5->4,857,323,591,0.0,0.0,893,737,1076,740,744,,,-21,0,"{""1"": 857}",1.1.0,439,23,True,No specific control failure established; retain as comparison shift; Next downshift follows after 95 ms: judge total ladder response
25,172.371,173.342,4->3,971,457,685,0.0,0.0,681,449,696,310,649,,,12,0,"{""1"": 971}",1.1.0,535,24,True,No specific control failure established; retain as comparison shift; Next downshift follows after 19 ms: judge total ladder response
26,173.361,174.791,3->2,1430,,,0.0,0.0,423,15,295,0,637,,,45,0,"{""1"": 1430}",1.1.0,610,25,True,Low-speed ratio response unavailable; use output/clutch signals; Next downshift follows after 19 ms: judge total ladder response
27,174.81,175.592,2->1,782,,,0.0,0.0,0,0,0,0,637,,,48,,"{""1"": 782}",1.1.0,592,26,True,Low-speed ratio response unavailable; use output/clutch signals
28,190.764,192.077,1->2,1313,533,818,44.8,53.6,2589,2177,651,895,3026,179,182,108,,"{""1"": 1313}",1.1.0,705,27,True,No specific control failure established; retain as comparison shift
29,193.236,194.606,2->3,1370,610,971,47.2,59.6,2737,1971,1128,1315,3031,199,202,132,,"{""1"": 1370}",1.1.0,722,28,True,No specific control failure established; retain as comparison shift
30,197.418,198.863,3->4,1445,742,970,50.4,51.2,2487,1774,1673,1776,2723,215,215,156,,"{""1"": 1445}",1.1.0,837,29,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate
31,203.292,204.394,4->5,1102,437,646,41.2,35.2,2069,1729,2066,2086,2213,157,158,108,,"{""1"": 1102}",1.1.0,627,30,True,No specific control failure established; retain as comparison shift
32,240.271,241.166,5->4,895,342,570,0.0,0.0,896,863,1086,866,647,,,-9,0,"{""1"": 895}",1.1.0,477,31,True,No specific control failure established; retain as comparison shift; Next downshift follows after 647 ms: judge total ladder response
33,241.813,242.802,4->3,989,456,684,0.0,0.0,693,668,699,449,654,,,3,1,"{""1"": 989}",1.1.0,552,32,True,No specific control failure established; retain as comparison shift; Next downshift follows after 38 ms: judge total ladder response
34,242.84,244.288,3->2,1448,572,744,0.0,0.0,642,315,434,134,645,,,12,4,"{""1"": 1448}",1.1.0,609,33,True,No specific control failure established; retain as comparison shift; Next downshift follows after 19 ms: judge total ladder response
35,244.307,245.373,2->1,1066,,,0.0,0.0,309,150,130,0,638,,,45,,"{""1"": 1066}",1.1.0,589,34,True,Low-speed ratio response unavailable; use output/clutch signals
36,336.08,337.336,1->2,1256,476,762,42.4,50.0,2535,1961,637,807,2844,165,167,105,,"{""1"": 1256}",1.1.0,686,35,True,No specific control failure established; retain as comparison shift
37,339.217,340.494,2->3,1277,593,859,46.4,53.6,2619,1833,1081,1222,2857,199,203,135,,"{""1"": 1277}",1.1.0,726,36,True,No specific control failure established; retain as comparison shift
38,344.199,345.644,3->4,1445,723,951,53.2,50.8,2488,1792,1668,1783,2741,238,238,183,,"{""1"": 1445}",1.1.0,818,37,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate
39,349.977,351.079,4->5,1102,437,646,41.2,35.2,2053,1711,2048,2061,2203,130,131,72,,"{""1"": 1102}",1.1.0,607,38,True,No specific control failure established; retain as comparison shift
40,458.484,459.421,5->4,937,343,552,0.0,0.0,894,926,1078,928,653,,,-12,4,"{""1"": 937}",1.1.0,497,39,True,No specific control failure established; retain as comparison shift
41,460.752,461.742,4->3,990,476,685,0.0,0.0,699,750,704,508,666,,,-3,0,"{""1"": 990}",1.1.0,533,40,True,No specific control failure established; retain as comparison shift; Next downshift follows after 325 ms: judge total ladder response
42,462.067,463.687,3->2,1620,608,857,0.0,0.0,642,459,437,192,683,,,6,22,"{""1"": 1620}",1.1.0,590,41,True,Fill/release dominates; coordinate MPC release and SPC rise as pedal increases; Next downshift follows after 19 ms: judge total ladder response
43,463.706,464.852,2->1,1146,306,,0.0,0.0,445,264,188,27,634,,,45,0,"{""1"": 1146}",1.1.0,592,42,True,No specific control failure established; retain as comparison shift
44,495.004,496.165,1->2,1161,382,686,39.2,44.0,2429,1870,614,771,2691,149,151,81,,"{""1"": 1161}",1.1.0,610,43,True,No specific control failure established; retain as comparison shift
45,498.35,499.685,2->3,1335,575,1107,50.0,60.0,2680,1891,1109,1261,2949,219,220,153,,"{""1"": 1335}",1.1.0,688,44,True,No specific control failure established; retain as comparison shift
46,503.789,505.253,3->4,1464,741,969,62.4,42.8,2631,1858,1764,1862,2890,257,260,189,,"{""1"": 1464}",1.1.0,778,45,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate
47,509.966,510.973,4->5,1007,380,589,34.4,31.6,1921,1590,1915,1914,2049,,,99,,"{""1"": 1007}",1.1.0,589,46,True,No specific control failure established; retain as comparison shift
48,701.834,703.02,5->4,1186,363,710,65.6,63.6,1590,1965,1914,1954,2127,147,227,93,18,"{""1"": 1186}",1.1.0,418,47,True,No specific control failure established; retain as comparison shift
49,705.528,706.67,4->5,1142,458,686,47.2,27.2,2198,1851,2190,2227,2360,151,152,90,,"{""1"": 1142}",1.1.0,629,48,True,No specific control failure established; retain as comparison shift
50,717.962,719.141,5->4,1179,362,704,67.2,63.6,1752,2134,2104,2130,2325,196,283,135,22,"{""1"": 1179}",1.1.0,399,49,True,No specific control failure established; retain as comparison shift
51,721.288,722.487,4->5,1199,494,741,51.2,43.2,2253,1889,2249,2274,2429,200,208,141,,"{""1"": 1199}",1.1.0,686,50,True,No specific control failure established; retain as comparison shift
52,760.079,760.995,5->4,916,325,553,0.0,0.0,898,926,1085,921,751,,,-24,7,"{""1"": 916}",1.1.0,493,51,True,No specific control failure established; retain as comparison shift
53,762.67,763.642,4->3,972,458,629,0.0,0.0,700,807,697,544,678,,,-12,6,"{""1"": 972}",1.1.0,533,52,True,No specific control failure established; retain as comparison shift
54,764.745,766.289,3->2,1544,608,818,0.0,0.0,655,669,437,276,679,,,9,18,"{""1"": 1544}",1.1.0,593,53,True,Fill/release dominates; coordinate MPC release and SPC rise as pedal increases; Next downshift follows after 380 ms: judge total ladder response
55,766.669,767.605,2->1,936,345,554,20.8,8.4,658,1089,271,279,1321,,,36,116,"{""1"": 936}",1.1.0,499,54,True,No specific control failure established; retain as comparison shift
56,773.593,774.714,1->2,1121,342,665,31.6,40.8,2290,1730,580,710,2487,,,90,,"{""1"": 1121}",1.1.0,589,55,True,No specific control failure established; retain as comparison shift
57,776.882,778.143,2->3,1261,577,862,42.8,47.6,2484,1746,1025,1166,2723,170,170,111,,"{""1"": 1261}",1.1.0,709,56,True,No specific control failure established; retain as comparison shift
58,782.247,783.635,3->4,1388,723,951,43.6,41.6,2330,1645,1552,1638,2513,178,180,120,,"{""1"": 1388}",1.1.0,856,57,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate
59,791.959,793.004,4->5,1045,380,589,39.6,24.8,2051,1696,2034,2045,2143,,,60,,"{""1"": 1045}",1.1.0,570,58,True,No specific control failure established; retain as comparison shift
60,802.166,803.1,5->4,934,344,572,0.0,0.0,893,956,1084,958,783,,,-15,6,"{""1"": 934}",1.1.0,494,59,True,No specific control failure established; retain as comparison shift; Next downshift follows after 628 ms: judge total ladder response
61,803.728,804.813,4->3,1085,534,667,20.0,39.2,916,1358,916,906,1627,142,178,15,18,"{""1"": 1085}",1.1.0,646,60,True,No specific control failure established; retain as comparison shift
62,810.247,811.562,3->4,1315,610,858,32.0,28.8,2066,1476,1391,1473,2207,,,84,,"{""1"": 1315}",1.1.0,817,61,True,Review fill/overlap delay; do not tune from existing slip-energy estimate
63,813.557,814.471,4->5,914,324,495,10.4,0.0,1561,1303,1559,1568,1583,,,-45,,"{""1"": 914}",1.1.0,437,62,True,No specific control failure established; retain as comparison shift
64,823.921,824.89,5->4,969,380,570,14.8,32.0,1033,1311,1245,1306,1487,,,0,24,"{""1"": 969}",1.1.0,551,63,True,No specific control failure established; retain as comparison shift
65,847.53,848.501,4->3,971,456,646,0.0,0.0,693,792,698,533,677,,,-9,2,"{""1"": 971}",1.1.0,533,64,True,No specific control failure established; retain as comparison shift; Next downshift follows after 534 ms: judge total ladder response
66,849.035,850.614,3->2,1579,610,800,0.0,0.0,646,445,437,185,657,,,15,24,"{""1"": 1579}",1.1.0,589,65,True,Fill/release dominates; coordinate MPC release and SPC rise as pedal increases; Next downshift follows after 19 ms: judge total ladder response
67,850.633,851.813,2->1,1180,285,457,0.0,37.6,439,773,182,185,950,,,21,53,"{""1"": 1180}",1.1.0,609,66,True,No specific control failure established; retain as comparison shift
68,854.245,855.386,1->2,1141,343,666,36.0,34.0,2357,1855,593,765,2590,128,128,93,,"{""1"": 1141}",1.1.0,589,67,True,No specific control failure established; retain as comparison shift
69,857.191,858.389,2->3,1198,495,780,38.4,35.2,2411,1654,991,1110,2592,137,137,81,,"{""1"": 1198}",1.1.0,666,68,True,No specific control failure established; retain as comparison shift
70,860.575,861.641,3->4,1066,399,627,0.8,0.0,1838,1208,1235,1209,1869,,,-48,,"{""1"": 1066}",1.1.0,609,69,True,Review fill/overlap delay; do not tune from existing slip-energy estimate
71,864.914,865.905,4->3,991,459,630,0.0,0.0,689,915,697,613,680,,,-27,7,"{""1"": 991}",1.1.0,551,70,True,No specific control failure established; retain as comparison shift; Next downshift follows after 285 ms: judge total ladder response
72,866.19,867.294,3->2,1104,534,686,19.6,27.2,878,1356,596,564,1546,,,3,67,"{""1"": 1104}",1.1.0,648,71,True,No specific control failure established; retain as comparison shift
73,875.388,876.378,2->3,990,323,589,25.6,24.0,2184,1378,900,925,2228,,,45,,"{""1"": 990}",1.1.0,553,72,True,No specific control failure established; retain as comparison shift
74,886.013,887.003,3->4,990,401,553,0.0,0.0,1479,946,993,949,1466,,,-48,,"{""1"": 990}",1.1.0,554,73,True,No specific control failure established; retain as comparison shift
75,889.04,890.028,4->3,988,456,627,0.0,0.0,701,906,697,613,677,,,-15,7,"{""1"": 988}",1.1.0,551,74,True,No specific control failure established; retain as comparison shift
76,891.225,892.351,3->2,1126,555,707,14.0,21.6,810,1199,542,493,1317,,,12,53,"{""1"": 1126}",1.1.0,670,75,True,No specific control failure established; retain as comparison shift
77,902.101,903.38,2->1,1279,383,555,0.0,0.0,601,344,245,86,678,,,9,27,"{""1"": 1279}",1.1.0,610,76,True,No specific control failure established; retain as comparison shift
