id,start_s,end_s,shift,duration_ms,response10_ms,ratio90_ms,pedal_start_pct,pedal_end_pct,input_start,input_end,output_start,output_end,engine_peak,request_min,request_max,net_torque_min,target_overshoot_rpm,phases_ms,longest_substate,longest_substate_ms,trace_events,forward,review
12,86.943,88.351,3->4,1408,684,933,38.4,37.2,2398,1614,1607,1613,2512,125,128,69,,"{""0"": 114, ""1"": 380, ""2"": 228, ""3"": 363, ""4"": 228, ""5"": 95}",2.1.0,209,12,True,Review fill/overlap delay; do not tune from existing slip-energy estimate
13,91.524,92.779,4->3,1255,475,722,73.2,83.2,1623,2467,1619,1651,2714,212,286,138,41,"{""0"": 114, ""1"": 685, ""2"": 133, ""3"": 228, ""4"": 95}",3.1.0,190,13,True,No specific control failure established; retain as comparison shift
14,95.401,97.036,3->4,1635,837,1160,75.6,74.0,2991,2153,2000,2144,3284,290,301,210,,"{""0"": 114, ""1"": 381, ""2"": 190, ""3"": 627, ""4"": 228, ""5"": 95}",3.2.0,399,14,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate; Loaded landing below boost; coordinate up/down schedule and hysteresis
15,98.708,99.792,4->5,1084,418,627,46.0,30.8,2257,1858,2248,2240,2451,,,93,,"{""0"": 114, ""1"": 209, ""2"": 133, ""3"": 323, ""4"": 209, ""5"": 96}",4.1.0,189,15,True,No specific control failure established; retain as comparison shift
16,118.653,119.775,5->4,1122,399,666,62.4,75.2,1598,1951,1913,1932,2088,142,226,84,20,"{""0"": 114, ""1"": 571, ""2"": 133, ""3"": 209, ""4"": 95}",3.1.0,190,16,True,No specific control failure established; retain as comparison shift
17,119.927,121.164,4->3,1237,456,703,93.6,100.0,1953,2952,1941,1971,3189,179,269,99,75,"{""0"": 114, ""1"": 647, ""2"": 153, ""3"": 209, ""4"": 114}",3.1.0,190,17,True,No specific control failure established; retain as comparison shift
18,123.292,124.945,3->4,1653,817,1159,81.2,54.8,3369,2398,2258,2389,3601,287,299,207,,"{""0"": 114, ""1"": 380, ""2"": 190, ""3"": 646, ""4"": 209, ""5"": 114}",3.2.0,418,18,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate
19,125.249,126.391,4->5,1142,457,666,46.8,23.6,2413,1992,2399,2396,2546,154,155,69,,"{""0"": 114, ""1"": 210, ""2"": 152, ""3"": 361, ""4"": 210, ""5"": 95}",4.1.0,191,19,True,No specific control failure established; retain as comparison shift
20,156.2,157.171,5->4,971,380,685,0.0,0.0,896,840,1085,844,648,,,18,3,"{""0"": 114, ""1"": 228, ""2"": 78, ""3"": 228, ""4"": 228, ""5"": 95}",4.1.0,209,20,True,No specific control failure established; retain as comparison shift
21,158.198,159.205,4->3,1007,475,665,0.0,14.0,694,930,700,626,700,,,9,6,"{""0"": 113, ""1"": 400, ""2"": 19, ""3"": 152, ""4"": 228, ""5"": 95}",1.1.0,209,21,True,No specific control failure established; retain as comparison shift
22,159.338,162.004,3->2,2666,992,2000,24.4,76.4,923,1871,619,759,2072,176,209,45,46,"{""0"": 116, ""1"": 1922, ""2"": 304, ""3"": 229, ""4"": 95}",1.5.3,893,22,True,Long shift: correct release control; Fill/release dominates; coordinate MPC release and SPC rise as pedal increases; Slow initial response; improve fill/release onset
23,162.916,164.341,2->1,1425,323,722,88.0,82.4,2265,4093,926,980,4195,127,260,27,254,"{""0"": 114, ""1"": 684, ""2"": 323, ""3"": 209, ""4"": 95}",2.1.0,285,23,True,Turbine overshoot; taper release/sync torque with latency compensation
24,164.36,166.019,1->2,1659,839,1162,81.2,78.8,4090,2726,984,1130,4200,,,105,,"{""0"": 611, ""1"": 285, ""2"": 19, ""3"": 440, ""4"": 209, ""5"": 95}",0.0.0,516,24,True,Slow initial response; improve fill/release onset
25,167.292,168.453,2->3,1161,515,724,50.8,79.6,3004,1983,1238,1326,3131,264,272,201,,"{""0"": 115, ""1"": 228, ""2"": 191, ""3"": 304, ""4"": 228, ""5"": 95}",4.1.0,209,25,True,Loaded landing below boost; coordinate up/down schedule and hysteresis
26,173.355,174.823,3->4,1468,741,993,64.0,55.2,2657,1917,1779,1921,2902,241,247,174,,"{""0"": 114, ""1"": 380, ""2"": 190, ""3"": 461, ""4"": 228, ""5"": 95}",1.1.0,190,26,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate
27,176.685,177.787,4->5,1102,437,627,42.4,22.0,2084,1748,2083,2111,2238,131,146,45,,"{""0"": 114, ""1"": 209, ""2"": 152, ""3"": 323, ""4"": 209, ""5"": 95}",4.1.0,190,27,True,No specific control failure established; retain as comparison shift
28,183.567,184.764,5->4,1197,399,684,65.6,68.8,1719,2106,2071,2100,2237,160,247,99,18,"{""0"": 114, ""1"": 627, ""2"": 133, ""3"": 209, ""4"": 114}",1.5.4,209,28,True,No specific control failure established; retain as comparison shift
29,187.272,188.45,4->5,1178,475,703,51.2,36.8,2310,1943,2302,2335,2460,188,196,132,,"{""0"": 114, ""1"": 209, ""2"": 190, ""3"": 342, ""4"": 209, ""5"": 114}",4.1.0,190,29,True,No specific control failure established; retain as comparison shift
30,239.523,240.494,5->4,971,380,629,0.0,0.0,894,891,1078,899,752,,,-12,4,"{""0"": 114, ""1"": 209, ""2"": 97, ""3"": 228, ""4"": 228, ""5"": 95}",4.1.0,209,30,True,No specific control failure established; retain as comparison shift
31,241.596,242.588,4->3,992,441,631,0.0,0.0,693,962,700,651,700,,,-18,6,"{""0"": 116, ""1"": 382, ""2"": 19, ""3"": 152, ""4"": 228, ""5"": 95}",4.1.0,209,31,True,No specific control failure established; retain as comparison shift
32,244.223,245.82,3->2,1597,647,875,0.0,0.0,646,413,437,170,668,,,27,24,"{""0"": 114, ""1"": 837, ""2"": 323, ""3"": 209, ""4"": 114}",2.1.0,304,32,True,No specific control failure established; retain as comparison shift
33,245.839,247.018,2->1,1179,,,0.0,0.0,402,424,169,108,661,,,45,0,"{""0"": 114, ""1"": 418, ""2"": 324, ""3"": 209, ""4"": 114}",2.1.0,305,33,True,Low-speed ratio response unavailable; use output/clutch signals
34,258.212,259.333,1->2,1121,380,646,36.4,43.6,2393,1882,599,772,2657,128,131,66,,"{""0"": 114, ""1"": 266, ""2"": 19, ""3"": 418, ""4"": 209, ""5"": 95}",3.1.0,190,34,True,No specific control failure established; retain as comparison shift
35,261.157,263.982,2->3,2825,590,2369,53.2,54.8,2758,2364,1140,1582,3107,233,235,165,,"{""0"": 114, ""1"": 228, ""2"": 210, ""3"": 1950, ""4"": 228, ""5"": 95}",3.2.0,1703,35,True,"Long shift: correct sync pressure recovery; Long wait for sync; inspect pressure floor, PID and torque restoration"
36,265.331,266.811,3->4,1480,741,998,55.2,49.2,2650,1936,1780,1928,2917,229,230,162,,"{""0"": 114, ""1"": 380, ""2"": 190, ""3"": 473, ""4"": 228, ""5"": 95}",3.2.0,217,36,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate
37,269.528,270.555,4->5,1027,381,571,40.0,17.6,2120,1745,2106,2100,2236,,,15,,"{""0"": 114, ""1"": 210, ""2"": 95, ""3"": 285, ""4"": 228, ""5"": 95}",4.1.0,209,37,True,No specific control failure established; retain as comparison shift
38,282.968,284.09,5->4,1122,361,646,81.6,96.4,1801,2198,2159,2183,2304,126,229,69,23,"{""0"": 114, ""1"": 570, ""2"": 134, ""3"": 209, ""4"": 95}",3.1.0,190,38,True,No specific control failure established; retain as comparison shift
39,284.09,285.346,4->3,1256,458,724,96.4,90.8,2199,3358,2184,2247,3587,179,283,99,78,"{""0"": 135, ""1"": 665, ""2"": 133, ""3"": 209, ""4"": 114}",1.4.4,228,38,True,No specific control failure established; retain as comparison shift
40,286.163,287.69,3->4,1527,761,1052,80.4,0.0,3543,2440,2367,2438,3684,158,164,-60,,"{""0"": 114, ""1"": 380, ""2"": 209, ""3"": 501, ""4"": 209, ""5"": 114}",3.2.0,250,39,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate
41,289.457,290.447,4->5,990,380,551,1.6,12.4,2348,1920,2343,2311,2234,,,-57,,"{""0"": 114, ""1"": 209, ""2"": 76, ""3"": 266, ""4"": 230, ""5"": 95}",4.1.0,211,40,True,No specific control failure established; retain as comparison shift
42,300.386,301.565,5->4,1179,380,685,76.4,100.0,1817,2197,2172,2182,2275,98,183,39,31,"{""0"": 114, ""1"": 609, ""2"": 133, ""3"": 209, ""4"": 114}",1.5.4,210,41,True,No specific control failure established; retain as comparison shift
43,301.584,302.802,4->3,1218,437,703,100.0,94.8,2199,3322,2185,2223,3545,152,255,69,76,"{""0"": 114, ""1"": 627, ""2"": 152, ""3"": 210, ""4"": 115}",1.4.4,209,42,True,No specific control failure established; retain as comparison shift
44,303.201,304.664,3->4,1463,665,988,78.4,5.6,3409,2342,2282,2340,3581,,,-30,,"{""0"": 209, ""1"": 380, ""2"": 95, ""3"": 456, ""4"": 228, ""5"": 95}",1.1.0,209,43,True,Review fill/overlap delay; do not tune from existing slip-energy estimate
45,304.683,305.654,4->5,971,361,532,2.8,0.0,2339,1902,2338,2285,2321,,,-57,,"{""0"": 114, ""1"": 209, ""2"": 95, ""3"": 228, ""4"": 228, ""5"": 97}",4.1.0,209,44,True,No specific control failure established; retain as comparison shift
46,371.757,372.691,5->4,934,363,572,0.0,0.0,893,873,1083,875,804,,,-15,4,"{""0"": 134, ""1"": 210, ""2"": 94, ""3"": 172, ""4"": 210, ""5"": 114}",4.1.0,191,45,True,No specific control failure established; retain as comparison shift
47,374.421,375.395,4->3,974,441,631,0.0,0.0,695,778,698,523,691,,,-9,5,"{""0"": 116, ""1"": 363, ""2"": 19, ""3"": 152, ""4"": 228, ""5"": 96}",4.1.0,190,46,True,No specific control failure established; retain as comparison shift
48,376.213,377.755,3->2,1542,610,858,0.0,0.0,641,477,432,201,660,,,21,40,"{""0"": 114, ""1"": 801, ""2"": 323, ""3"": 209, ""4"": 95}",2.1.0,304,47,True,No specific control failure established; retain as comparison shift
49,377.774,378.937,2->1,1163,304,441,0.0,0.0,489,338,197,86,659,,,42,3,"{""0"": 115, ""1"": 421, ""2"": 323, ""3"": 209, ""4"": 95}",2.1.0,304,48,True,No specific control failure established; retain as comparison shift
50,478.244,479.441,1->2,1197,361,722,36.8,36.0,2385,1811,604,747,2661,,,78,,"{""0"": 114, ""1"": 266, ""2"": 19, ""3"": 475, ""4"": 209, ""5"": 114}",3.1.0,190,49,True,No specific control failure established; retain as comparison shift
51,481.93,483.222,2->3,1292,551,855,50.4,50.4,2699,1874,1115,1256,2953,206,211,138,,"{""0"": 114, ""1"": 209, ""2"": 228, ""3"": 418, ""4"": 228, ""5"": 95}",2.1.0,209,50,True,No specific control failure established; retain as comparison shift
52,487.383,488.862,3->4,1479,742,998,51.2,52.0,2504,1752,1679,1741,2725,228,232,165,,"{""0"": 134, ""1"": 380, ""2"": 190, ""3"": 452, ""4"": 228, ""5"": 95}",4.1.0,209,51,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate
53,499.35,500.491,4->5,1141,457,666,40.8,38.0,2051,1698,2047,2048,2169,154,155,99,,"{""0"": 134, ""1"": 209, ""2"": 151, ""3"": 343, ""4"": 209, ""5"": 95}",4.1.0,190,52,True,No specific control failure established; retain as comparison shift
54,521.74,522.639,5->4,899,366,556,0.0,0.0,898,798,1085,803,888,,,-21,0,"{""0"": 117, ""1"": 211, ""2"": 76, ""3"": 190, ""4"": 210, ""5"": 95}",4.1.0,191,53,True,No specific control failure established; retain as comparison shift
55,523.059,524.031,4->3,972,420,610,0.0,0.0,693,924,695,615,687,,,-24,11,"{""0"": 114, ""1"": 363, ""2"": 19, ""3"": 152, ""4"": 210, ""5"": 114}",4.1.0,191,54,True,No specific control failure established; retain as comparison shift
56,524.43,525.555,3->2,1125,572,705,20.8,7.6,877,1385,593,574,1511,94,95,9,55,"{""0"": 114, ""1"": 344, ""2"": 171, ""3"": 172, ""4"": 228, ""5"": 96}",4.1.0,209,55,True,No specific control failure established; retain as comparison shift
57,531.559,532.452,2->3,893,342,494,0.0,0.0,1606,1001,664,676,1568,,,-48,,"{""0"": 114, ""1"": 304, ""2"": 19, ""3"": 133, ""4"": 209, ""5"": 114}",1.5.0,209,56,True,No specific control failure established; retain as comparison shift
58,536.025,538.688,3->2,2663,666,1978,0.0,27.2,654,816,436,335,1016,,,3,52,"{""0"": 114, ""1"": 1921, ""2"": 323, ""3"": 209, ""4"": 96}",1.6.4,1217,57,True,Long shift: correct release control; Fill/release dominates; coordinate MPC release and SPC rise as pedal increases
59,538.707,539.905,2->1,1198,361,552,27.2,30.8,826,1306,336,331,1466,27,108,-21,100,"{""0"": 114, ""1"": 438, ""2"": 323, ""3"": 209, ""4"": 114}",2.1.0,304,58,True,Torque undershoot with demand: check CAN torque units and engine lag
60,551.383,551.526,N/P->R1,143,,,0.0,0.0,0,102,0,0,641,,,57,,"{""0"": 38, ""1"": 105}",1.0.0,105,59,False,Selector N_D/N/R/R_N; Cancel on selector transit; record cancellation reason
61,752.223,753.337,N/P->R2,1114,,,0.0,0.0,608,0,0,0,630,,,48,,"{""0"": 56, ""1"": 210, ""2"": 20, ""3"": 20, ""4"": 20, ""5"": 442, ""7"": 327, ""8"": 19}",5.0.0,442,60,False,Selector P_R/R; Completed; retain sequence pending separate OEM garage comparison
62,761.323,762.438,N/P->2,1115,,,0.0,0.0,334,31,6,0,689,,,36,,"{""0"": 58, ""1"": 210, ""2"": 20, ""3"": 20, ""4"": 20, ""5"": 442, ""7"": 326, ""8"": 19}",5.0.0,442,61,False,Selector N_D/D; Completed; retain sequence pending separate OEM garage comparison
63,762.457,763.448,2->1,991,,,1.2,26.8,36,414,0,93,944,,,78,,"{""0"": 114, ""1"": 230, ""2"": 324, ""3"": 228, ""4"": 95}",2.1.0,305,62,True,Low-speed ratio response unavailable; use output/clutch signals
64,778.097,779.219,1->2,1122,342,647,34.4,38.0,2307,1610,582,662,2473,,,111,,"{""0"": 114, ""1"": 247, ""2"": 20, ""3"": 418, ""4"": 228, ""5"": 95}",3.1.0,209,63,True,No specific control failure established; retain as comparison shift
65,783.076,784.028,2->3,952,380,570,1.2,0.0,1665,948,689,637,1617,,,-48,,"{""0"": 114, ""1"": 342, ""2"": 19, ""3"": 152, ""4"": 210, ""5"": 115}",1.5.0,247,64,True,No specific control failure established; retain as comparison shift
66,785.662,787.434,3->2,1772,764,973,0.0,0.0,642,452,433,187,677,,,27,16,"{""0"": 116, ""1"": 1009, ""2"": 323, ""3"": 228, ""4"": 96}",1.5.3,400,65,True,Slow initial response; improve fill/release onset
67,787.453,788.995,2->1,1542,608,779,0.0,38.8,449,1069,185,262,1481,131,158,63,87,"{""0"": 114, ""1"": 798, ""2"": 324, ""3"": 211, ""4"": 95}",2.1.0,305,66,True,No specific control failure established; retain as comparison shift
68,791.408,792.568,1->2,1160,361,684,37.2,45.2,2384,1863,601,763,2639,,,102,,"{""0"": 114, ""1"": 247, ""2"": 38, ""3"": 457, ""4"": 209, ""5"": 95}",3.1.0,190,67,True,No specific control failure established; retain as comparison shift
69,794.259,795.495,2->3,1236,532,798,44.8,49.6,2597,1852,1067,1236,2835,161,161,99,,"{""0"": 114, ""1"": 209, ""2"": 228, ""3"": 361, ""4"": 228, ""5"": 96}",2.1.0,209,68,True,No specific control failure established; retain as comparison shift
70,798.421,799.885,3->4,1464,741,988,47.6,44.8,2428,1761,1624,1751,2649,196,196,144,,"{""0"": 114, ""1"": 380, ""2"": 247, ""3"": 399, ""4"": 229, ""5"": 95}",4.1.0,210,69,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate
71,802.165,803.155,4->5,990,361,553,34.8,20.0,1915,1603,1905,1931,2067,,,36,,"{""0"": 114, ""1"": 209, ""2"": 78, ""3"": 266, ""4"": 209, ""5"": 114}",4.1.0,190,70,True,No specific control failure established; retain as comparison shift
72,833.419,834.318,5->4,899,344,535,0.0,0.0,894,849,1078,853,765,,,-6,4,"{""0"": 115, ""1"": 209, ""2"": 78, ""3"": 190, ""4"": 212, ""5"": 95}",4.1.0,193,71,True,No specific control failure established; retain as comparison shift
73,834.929,835.899,4->3,970,438,647,0.0,0.0,694,653,702,446,664,,,12,0,"{""0"": 114, ""1"": 343, ""2"": 38, ""3"": 152, ""4"": 228, ""5"": 95}",4.1.0,190,72,True,No specific control failure established; retain as comparison shift
74,835.918,837.421,3->2,1503,629,819,0.0,16.4,637,494,437,203,654,,,30,17,"{""0"": 113, ""1"": 763, ""2"": 304, ""3"": 228, ""4"": 95}",1.5.3,286,73,True,No specific control failure established; retain as comparison shift
75,837.421,838.472,2->1,1051,405,614,21.6,40.8,495,1115,203,274,1502,163,174,75,160,"{""0"": 136, ""1"": 345, ""2"": 114, ""3"": 133, ""4"": 228, ""5"": 95}",4.1.0,190,73,True,Turbine overshoot; taper release/sync torque with latency compensation
76,840.163,841.342,1->2,1179,456,703,42.0,53.6,2575,2027,650,838,2922,163,167,90,,"{""0"": 114, ""1"": 247, ""2"": 57, ""3"": 457, ""4"": 209, ""5"": 95}",3.1.0,190,74,True,No specific control failure established; retain as comparison shift
77,843.128,844.459,2->3,1331,589,893,56.8,58.4,2827,2013,1165,1352,3155,243,248,174,,"{""0"": 114, ""1"": 209, ""2"": 209, ""3"": 475, ""4"": 229, ""5"": 95}",3.2.0,228,75,True,No specific control failure established; retain as comparison shift
78,847.594,849.001,3->4,1407,723,951,54.8,48.4,2530,1790,1698,1792,2755,220,221,156,,"{""0"": 114, ""1"": 381, ""2"": 190, ""3"": 418, ""4"": 209, ""5"": 95}",1.1.0,190,76,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate
79,862.624,863.745,4->5,1121,456,684,41.2,41.6,2072,1732,2067,2085,2176,171,176,117,,"{""0"": 114, ""1"": 209, ""2"": 171, ""3"": 323, ""4"": 209, ""5"": 95}",4.1.0,190,77,True,No specific control failure established; retain as comparison shift
80,917.764,918.68,5->4,916,342,555,0.0,0.0,899,893,1084,889,775,,,-9,6,"{""0"": 114, ""1"": 209, ""2"": 59, ""3"": 211, ""4"": 209, ""5"": 114}",4.1.0,190,78,True,No specific control failure established; retain as comparison shift
81,919.668,920.676,4->3,1008,457,628,0.0,0.0,689,936,698,636,687,,,-6,7,"{""0"": 115, ""1"": 342, ""2"": 57, ""3"": 171, ""4"": 228, ""5"": 95}",4.1.0,209,79,True,No specific control failure established; retain as comparison shift
82,921.018,923.745,3->2,2727,1202,2061,24.0,40.0,937,1637,624,669,1781,141,161,27,29,"{""0"": 114, ""1"": 1966, ""2"": 324, ""3"": 228, ""4"": 95}",1.5.3,1049,80,True,Long shift: correct release control; Fill/release dominates; coordinate MPC release and SPC rise as pedal increases; Slow initial response; improve fill/release onset
83,926.899,927.964,2->3,1065,361,646,35.2,34.0,2315,1502,955,1006,2425,,,81,,"{""0"": 114, ""1"": 209, ""2"": 76, ""3"": 342, ""4"": 209, ""5"": 115}",4.1.0,190,81,True,No specific control failure established; retain as comparison shift
84,937.939,938.966,3->4,1027,419,590,0.0,0.0,1551,997,1043,994,1555,,,-48,,"{""0"": 114, ""1"": 362, ""2"": 19, ""3"": 209, ""4"": 228, ""5"": 95}",4.1.0,209,82,True,No specific control failure established; retain as comparison shift
85,941.133,942.122,4->3,989,457,647,0.0,0.0,702,891,700,599,681,,,-27,5,"{""0"": 114, ""1"": 343, ""2"": 38, ""3"": 171, ""4"": 228, ""5"": 95}",4.1.0,209,83,True,No specific control failure established; retain as comparison shift
86,944.288,945.392,3->2,1104,551,702,9.2,15.6,737,1038,493,426,1147,,,-6,49,"{""0"": 114, ""1"": 342, ""2"": 171, ""3"": 153, ""4"": 227, ""5"": 97}",4.1.0,209,84,True,No specific control failure established; retain as comparison shift
87,953.926,955.161,2->1,1235,342,551,0.0,0.0,598,351,240,92,673,,,21,45,"{""0"": 114, ""1"": 475, ""2"": 323, ""3"": 228, ""4"": 95}",2.1.0,304,85,True,No specific control failure established; retain as comparison shift
88,956.586,956.943,N/P->R1,357,,,0.0,0.0,0,615,0,0,651,,,45,,"{""0"": 19, ""1"": 214, ""2"": 19, ""3"": 19, ""4"": 19, ""5"": 67}",1.0.0,214,86,False,Selector N/R/R_N/P; Cancel on selector transit; record cancellation reason
