id,start_s,end_s,shift,duration_ms,response10_ms,ratio90_ms,pedal_start_pct,pedal_end_pct,input_start,input_end,output_start,output_end,engine_peak,request_min,request_max,net_torque_min,target_overshoot_rpm,phases_ms,longest_substate,longest_substate_ms,trace_events,forward,review
27,336.204,337.498,2->1,1294,361,569,0.0,0.0,548,566,227,138,706,,,-6,12,"{""1"": 1294}",1.1.0,590,27,True,No specific control failure established; retain as comparison shift
28,356.978,358.157,1->2,1179,400,704,38.0,42.4,2375,1839,600,756,2661,139,140,75,,"{""1"": 1179}",1.1.0,589,28,True,No specific control failure established; retain as comparison shift
29,360.076,361.448,2->3,1372,631,973,44.0,40.8,2534,1764,1038,1181,2780,164,164,105,,"{""1"": 1372}",1.1.0,780,29,True,No specific control failure established; retain as comparison shift
30,365.761,367.168,3->4,1407,704,970,40.8,37.6,2231,1548,1494,1543,2390,140,143,87,,"{""1"": 1407}",1.1.0,837,30,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate
31,372.147,373.135,4->5,988,380,570,20.8,0.0,1706,1409,1701,1699,1779,,,-39,,"{""1"": 988}",1.1.0,513,31,True,No specific control failure established; retain as comparison shift
32,532.974,533.91,5->4,936,364,573,0.0,0.0,896,869,1086,869,645,,,-21,2,"{""1"": 936}",1.1.0,516,32,True,No specific control failure established; retain as comparison shift; Next downshift follows after 971 ms: judge total ladder response
33,534.881,535.872,4->3,991,477,667,0.0,0.0,705,854,702,579,685,,,-18,3,"{""1"": 991}",1.1.0,555,33,True,No specific control failure established; retain as comparison shift
34,537.3,539.308,3->2,2008,669,1264,0.0,0.0,653,655,438,272,683,,,-6,13,"{""1"": 2008}",1.1.0,612,34,True,Fill/release dominates; coordinate MPC release and SPC rise as pedal increases; Next downshift follows after 532 ms: judge total ladder response
35,539.84,541.156,2->1,1316,403,574,0.0,0.0,598,651,247,167,692,,,-9,17,"{""1"": 1316}",1.1.0,589,35,True,No specific control failure established; retain as comparison shift
36,554.322,555.462,1->2,1140,361,665,32.8,29.2,2302,1628,578,673,2477,,,60,,"{""1"": 1140}",1.1.0,569,36,True,No specific control failure established; retain as comparison shift
37,558.578,559.685,2->3,1107,383,688,32.8,30.0,2281,1531,939,1024,2407,,,84,,"{""1"": 1107}",1.1.0,571,37,True,No specific control failure established; retain as comparison shift
38,566.905,568.33,3->4,1425,722,969,42.4,41.6,2272,1587,1522,1596,2460,172,176,117,,"{""1"": 1425}",1.1.0,855,38,True,Slow initial response; improve fill/release onset; Review fill/overlap delay; do not tune from existing slip-energy estimate
39,570.268,571.239,4->5,971,360,552,17.2,0.0,1676,1387,1674,1668,1763,,,-45,,"{""1"": 971}",1.1.0,495,39,True,No specific control failure established; retain as comparison shift
40,624.495,625.431,5->4,936,363,534,0.0,0.0,894,896,1074,896,656,,,-6,7,"{""1"": 936}",1.1.0,498,40,True,No specific control failure established; retain as comparison shift
41,626.686,627.676,4->3,990,474,648,0.0,0.0,704,939,702,632,679,,,-6,8,"{""1"": 990}",1.1.0,551,41,True,No specific control failure established; retain as comparison shift; Next downshift follows after 838 ms: judge total ladder response
42,628.514,629.694,3->2,1180,589,742,22.0,40.8,898,1497,606,610,1684,127,157,24,64,"{""1"": 1180}",1.1.0,742,42,True,No specific control failure established; retain as comparison shift
43,632.354,633.534,2->3,1180,477,762,37.2,37.2,2336,1535,961,1032,2485,133,137,75,,"{""1"": 1180}",1.1.0,667,43,True,No specific control failure established; retain as comparison shift
44,638.779,639.976,3->4,1197,494,741,25.2,24.0,1986,1393,1333,1393,2057,,,48,,"{""1"": 1197}",1.1.0,722,44,True,Review fill/overlap delay; do not tune from existing slip-energy estimate
45,655.738,656.729,4->3,991,456,627,0.0,1.2,701,902,697,609,690,,,-15,6,"{""1"": 991}",1.1.0,554,45,True,No specific control failure established; retain as comparison shift; Next downshift follows after 266 ms: judge total ladder response
46,656.995,658.14,3->2,1145,556,727,18.4,30.4,874,1234,583,510,1475,,,15,54,"{""1"": 1145}",1.1.0,723,46,True,No specific control failure established; retain as comparison shift
47,673.571,674.56,2->3,989,362,590,6.4,1.2,1813,1122,750,754,1759,,,-39,,"{""1"": 989}",1.1.0,475,47,True,No specific control failure established; retain as comparison shift
48,680.8,683.373,3->2,2573,684,1772,0.0,16.8,655,823,436,339,824,,,0,23,"{""1"": 2573}",1.6.4,1107,48,True,Long shift: correct release control; Fill/release dominates; coordinate MPC release and SPC rise as pedal increases; Next downshift follows after 268 ms: judge total ladder response
49,683.641,684.553,2->1,912,342,456,18.4,14.4,817,1260,334,315,1493,,,24,134,"{""1"": 912}",1.1.0,475,49,True,No specific control failure established; retain as comparison shift
50,691.86,692.995,N/P->R1,1135,,,0.0,14.8,533,0,57,0,677,,,18,,"{""0"": 59, ""1"": 211, ""2"": 21, ""3"": 19, ""4"": 19, ""5"": 458, ""7"": 328, ""8"": 20}",5.0.0,458,50,False,Selector N_D/R; Cancel on selector transit; record cancellation reason
